panel,model,gender,term,estimate,std.error,statistic,p.value,n_obs,adj_r2
A,1,female,height,0.012120829587502489,0.004552357218934331,2.6625392087178685,0.008027727020405476,482,0.10934505375851411
A,1,female,bmi_under,0.025575384202174714,0.06255378607521508,0.4088542965476575,0.6828372827428582,482,0.10934505375851411
A,1,female,bmi_over,-0.14386570646605729,0.06420812105055429,-2.240615425465956,0.025528568126802285,482,0.10934505375851411
A,2,female,height,0.012120829587502489,0.004552357218934331,2.6625392087178685,0.008027727020405476,482,0.10934505375851411
A,2,female,bmi_under,0.025575384202174714,0.06255378607521508,0.4088542965476575,0.6828372827428582,482,0.10934505375851411
A,2,female,bmi_over,-0.14386570646605729,0.06420812105055429,-2.240615425465956,0.025528568126802285,482,0.10934505375851411
A,3,female,height,0.01304104567427744,0.004738306231129747,2.752258937719204,0.006163234732897508,479,0.19919200371658619
A,3,female,bmi_under,0.02598651330168087,0.06001376336617968,0.43300922728544267,0.6652202432340271,479,0.19919200371658619
A,3,female,bmi_over,-0.11807108200455896,0.06272130825649458,-1.882471607921748,0.0604316155469275,479,0.19919200371658619
A,4,female,height,0.013648359310027782,0.0048611282935542765,2.8076525624977093,0.005218577276757537,471,0.19745087475071743
A,4,female,bmi_under,0.030442859957844435,0.0608563158613456,0.5002415858890494,0.6171620864280469,471,0.19745087475071743
A,4,female,bmi_over,-0.11597851534013329,0.06315907100587526,-1.8362922933009036,0.06700784819239643,471,0.19745087475071743
A,5,female,height,0.014365113925768898,0.0050033217995059855,2.871115331255981,0.004294746736131459,471,0.19995808764356426
A,5,female,bmi_under,0.03396295913757038,0.06093081056324131,0.5574020569169935,0.577546206147576,471,0.19995808764356426
A,5,female,bmi_over,-0.11111603113356328,0.06173907511712956,-1.799768314033814,0.07260632307825104,471,0.19995808764356426
A,6,female,height,0.014119218794452604,0.0049437261636264525,2.8559872305094465,0.00450117718872811,471,0.2007440426325814
A,6,female,bmi_under,0.03831519006822202,0.0610544358077753,0.6275578434440723,0.5306314469882303,471,0.2007440426325814
A,6,female,bmi_over,-0.354469712867883,0.18174517923525849,-1.9503665206384524,0.051790989190655924,471,0.2007440426325814
A,6,female,bmi_over:edu_years,0.020905804615816998,0.014941752977058975,1.399153409102333,0.16249809378952051,471,0.2007440426325814
A,7,female,height,0.016292020094507458,0.00501322532089057,3.249808067995092,0.001253008633331007,471,0.22216766178497982
A,7,female,bmi_under,0.040643853573080924,0.06522921053247406,0.6230928328167726,0.5335803962800283,471,0.22216766178497982
A,7,female,bmi_over,-0.11929905338725463,0.06328823394409809,-1.8850115724927698,0.060156562508549734,471,0.22216766178497982
B,1,female,height,0.01641000942797902,0.004889468832963768,3.356194709197489,8.557338136120218e-4,482,0.10281315774590105
B,1,female,weight,-0.0061770407672052,0.003385887280690289,-1.824349204544657,0.06874784435008678,482,0.10281315774590105
B,2,female,height,0.01641000942797902,0.004889468832963768,3.356194709197489,8.557338136120218e-4,482,0.10281315774590105
B,2,female,weight,-0.0061770407672052,0.003385887280690289,-1.824349204544657,0.06874784435008678,482,0.10281315774590105
B,3,female,height,0.016109278799701976,0.004906244158853867,3.2834237918288225,0.0011071801572553974,479,0.19354267325997077
B,3,female,weight,-0.0041118912915181,0.0032225214250533657,-1.2759857109251045,0.20263219713015698,479,0.19354267325997077
B,4,female,height,0.016757111635997496,0.004983817185842357,3.3623046374172403,8.422523067436896e-4,471,0.19189012891167145
B,4,female,weight,-0.004150255697216902,0.003258490435641457,-1.2736743529523034,0.20346848415147967,471,0.19189012891167145
B,5,female,height,0.017523598197336017,0.005115891054823597,3.4253266947140366,6.736226992495656e-4,471,0.19491431262012615
B,5,female,weight,-0.0042913826458514815,0.0033543234967924346,-1.2793586098523615,0.20146718006228148,471,0.19491431262012615
B,6,female,height,0.017523598197336017,0.005115891054823597,3.4253266947140366,6.736226992495656e-4,471,0.19491431262012615
B,6,female,weight,-0.0042913826458514815,0.0033543234967924346,-1.2793586098523615,0.20146718006228148,471,0.19491431262012615
B,7,female,height,0.01996165005121086,0.005279243371517865,3.7811573830648335,1.79972723936251e-4,471,0.2168425166998671
B,7,female,weight,-0.005324498396442783,0.0033778222704513423,-1.5763109986634456,0.11574664667010569,471,0.2168425166998671
