step,n
0. Wave 2006,18785
1. Urban hukou,4737
2. Non-agricultural,4737
3. Valid height/weight,4205
4. Age 16–60,2833
5. Employment sample (gender age limits),2243
6. Employed within employment sample,1532
7. Income sample (C8 > 0),1168
