term,estimate,std.error,statistic,p.value,n_obs,adj_r2,panel,gender
(Intercept),2.2289683438085106,1.0430980418324038,2.136873289391758,0.03322207214765482,471,0.21756950588554358,A,female
height,0.01795734798918703,0.005027238511254201,3.5720103490190303,3.979757801639533e-4,471,0.21756950588554358,A,female
bmi_under,0.04941605044385007,0.0705778941135489,0.7001632885836364,0.4842375036491653,471,0.21756950588554358,A,female
bmi_over,-0.11459893831347949,0.06709316802798276,-1.7080567467865482,0.08841148120873196,471,0.21756950588554358,A,female
consu,1.3961523810414846,2.252252060922643,0.6198917098424348,0.535686508528004,471,0.21756950588554358,A,female
edu_years,0.02781469009175771,0.01190132683548545,2.3371083305454956,0.01993245353353123,471,0.21756950588554358,A,female
hlth_exc,0.21119928008394198,0.12565134985480347,1.680835743730517,0.09358534160860882,471,0.21756950588554358,A,female
hlth_good,0.18540153199662915,0.11186289035286008,1.657399799091539,0.09823263774360562,471,0.21756950588554358,A,female
hlth_fair,0.15694765445257208,0.13005589350507946,1.2067707984832101,0.22824263209996654,471,0.21756950588554358,A,female
married,-0.05449898272019156,0.10116790200910508,-0.5386983582528643,0.5903984603444092,471,0.21756950588554358,A,female
divorced,-0.0814439852153742,0.14755259797283618,-0.5519657826043002,0.5812839431550267,471,0.21756950588554358,A,female
widowed,-0.1412624110155494,0.2530589263849727,-0.558219435423709,0.5770108129469489,471,0.21756950588554358,A,female
separated,0.48591290167536266,0.3929826758230511,1.2364741032354196,0.21701708509309445,471,0.21756950588554358,A,female
province_f23,0.2801909060693021,0.18010140408027328,1.5557397095272936,0.12057082512852185,471,0.21756950588554358,A,female
province_f32,0.3769200443487653,0.23761269449152145,1.5862790713070032,0.11347619099031558,471,0.21756950588554358,A,female
province_f37,1.198532742242091,0.8179600129938978,1.4652705794935144,0.14364261532105263,471,0.21756950588554358,A,female
province_f41,-0.38870922434327776,0.31436583218192093,-1.236486871506872,0.21701234696995822,471,0.21756950588554358,A,female
province_f42,0.3083487931304673,0.2739361930838266,1.1256226848275948,0.2610087147197362,471,0.21756950588554358,A,female
province_f43,-0.2674905537024228,0.20448724429182283,-1.3081038606040787,0.19159879612589462,471,0.21756950588554358,A,female
